MaLead,SoDienThoai,HoTen,NgayTiepNhan,MaChienDich,MaBaiViet,SanPham,Vung,ChiNhanh,NhuCau,TrangThai,PhanLoai,GiaoDichVien
BRC-01670,0985890241,Khách hàng 1670,18/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đang liên hệ,Cần nuôi,GDV-049
BRC-01290,0926200559,Khách hàng 1290,18/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đang liên hệ,Cần nuôi,GDV-024
BRC-01956,0936334937,Khách hàng 1956,18/03/2026,CMP-2026-Q1,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Mở mới,Không liên hệ được,Ưu tiên thấp,GDV-056
BRC-01502,0976521968,Khách hàng 1502,19/03/2026,CMP-2026-Q1,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Đang liên hệ,Nóng,GDV-035
BRC-01924,0912240555,Khách hàng 1924,20/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,Thành công,Ưu tiên thấp,GDV-039
BRC-01714,0920445822,Khách hàng 1714,20/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,So sánh sản phẩm,Đang liên hệ,Cần nuôi,GDV-041
BRC-01122,0902341848,Khách hàng 1122,20/03/2026,CMP-2026-Q1,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Đang liên hệ,Ấm,GDV-059
BRC-02012,0910826517,Khách hàng 2012,20/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Đang liên hệ,Cần nuôi,GDV-060
BRC-01558,0943895553,Khách hàng 1558,20/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Mới,Ưu tiên thấp,GDV-004
BRC-01509,0973748042,Khách hàng 1509,20/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Mở mới,Mới,Nóng,GDV-057
BRC-05575,0920317311,Khách hàng 1976,20/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Hỗ trợ hồ sơ,Chuyển hồ sơ,Ưu tiên thấp,GDV-023
BRC-01291,0900055731,Khách hàng 1291,21/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Đang liên hệ,Ấm,GDV-024
BRC-01305,0966500514,Khách hàng 1305,21/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,So sánh sản phẩm,Thành công,Ưu tiên thấp,GDV-041
BRC-01268,0934281947,Khách hàng 1268,21/03/2026,CMP-2026-Q1,,App số & Tiết kiệm online,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đã tư vấn,Nóng,GDV-025
BRC-01307,0999584528,Khách hàng 1307,22/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,Hỏi ưu đãi,Mới,Nóng,GDV-033
BRC-01657,0922963075,Khách hàng 1657,23/03/2026,CMP-2026-Q1,,App số & Tiết kiệm online,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,Mới,Nóng,GDV-020
BRC-01162,0941126242,Khách hàng 1162,23/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỏi ưu đãi,Chuyển hồ sơ,Cần nuôi,GDV-050
BRC-01456,0947807995,Khách hàng 1456,24/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Mới,Ấm,GDV-049
BRC-01148,0939718889,Khách hàng 1148,24/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Hỏi ưu đãi,Mới,Nóng,GDV-042
BRC-01500,0925042485,Khách hàng 1500,24/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đang liên hệ,Nóng,GDV-046
BRC-01895,0941773198,Khách hàng 1895,24/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Mới,Ấm,GDV-033
BRC-01399,0994959136,Khách hàng 1399,24/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-026
BRC-01360,0966266565,Khách hàng 1360,24/03/2026,CMP-2026-Q1,,Vay mua nhà,Miền Trung,CN Đà Nẵng,So sánh sản phẩm,Mới,Ấm,GDV-053
BRC-01326,0942918309,Khách hàng 1326,24/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đã tư vấn,Cần nuôi,GDV-006
BRC-01409,0924720245,Khách hàng 1409,25/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,Chuyển hồ sơ,Cần nuôi,GDV-051
BRC-02014,0978347177,Khách hàng 2014,25/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Đã tư vấn,Cần nuôi,GDV-045
BRC-01902,0938081561,Khách hàng 1902,25/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,Mới,Ấm,GDV-014
BRC-01705,0991283947,Khách hàng 1705,27/03/2026,CMP-2026-Q1,,Tài khoản lương,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Mới,Cần nuôi,GDV-023
BRC-01233,0972236066,Khách hàng 1233,27/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Chuyển hồ sơ,Nóng,GDV-024
BRC-01342,0937092230,Khách hàng 1342,27/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Thành công,Ấm,GDV-052
BRC-01139,0918899556,Khách hàng 1139,27/03/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,Tư vấn sản phẩm,Mới,Nóng,GDV-015
BRC-02082,0977815673,Khách hàng 2082,06/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Mới,Nóng,GDV-039
BRC-02297,0964328599,Khách hàng 2297,06/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Đang liên hệ,Ưu tiên thấp,GDV-008
BRC-02093,0940021564,Khách hàng 2093,07/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Không liên hệ được,Ấm,GDV-016
BRC-02285,0959334221,Khách hàng 2285,07/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Cần Thơ,Hỏi ưu đãi,Đã tư vấn,Cần nuôi,GDV-021
BRC-02466,0945798723,Khách hàng 2466,07/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Đang liên hệ,Ưu tiên thấp,GDV-018
BRC-02510,0953211685,Khách hàng 2510,08/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Chuyển hồ sơ,Ấm,GDV-025
BRC-02368,0928094619,Khách hàng 2368,08/04/2026,CMP-2026-Q2,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Hỗ trợ hồ sơ,Đang liên hệ,Cần nuôi,GDV-054
BRC-02486,0997917126,Khách hàng 2486,09/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hải Phòng,Mở mới,Đang liên hệ,Ưu tiên thấp,GDV-042
BRC-02446,0950140394,Khách hàng 2446,09/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,Mới,Cần nuôi,GDV-035
BRC-02495,0936152271,Khách hàng 2495,12/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Chuyển hồ sơ,Ưu tiên thấp,GDV-022
BRC-02226,0988085264,Khách hàng 2226,12/04/2026,CMP-2026-Q2,,Tài khoản lương,Miền Trung,CN Nha Trang,Mở mới,Thành công,Cần nuôi,GDV-049
BRC-02153,0962948416,Khách hàng 2153,12/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đang liên hệ,Cần nuôi,GDV-032
BRC-02041,0911477903,Khách hàng 2041,12/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Chuyển hồ sơ,Ưu tiên thấp,GDV-029
BRC-02300,0996330025,Khách hàng 2300,13/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Đà Nẵng,Hỗ trợ hồ sơ,Thành công,Nóng,GDV-036
BRC-02347,0950563215,Khách hàng 2347,14/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đang liên hệ,Ấm,GDV-012
BRC-02257,0900097848,Khách hàng 2257,15/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,So sánh sản phẩm,Đã tư vấn,Cần nuôi,GDV-002
BRC-02217,0947910278,Khách hàng 2217,15/04/2026,CMP-2026-Q2,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,So sánh sản phẩm,Đã tư vấn,Ưu tiên thấp,GDV-044
BRC-02079,0991508026,Khách hàng 2079,15/04/2026,CMP-2026-Q2,,Tài khoản lương,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đã tư vấn,Cần nuôi,GDV-055
BRC-02033,0965337240,Khách hàng 2033,16/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Đã tư vấn,Cần nuôi,GDV-055
BRC-02086,0969554068,Khách hàng 2086,18/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Mở mới,Đang liên hệ,Ưu tiên thấp,GDV-010
BRC-02490,0935303827,Khách hàng 2490,19/04/2026,CMP-2026-Q2,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Hỗ trợ hồ sơ,Đang liên hệ,Cần nuôi,GDV-050
BRC-02229,0921905360,Khách hàng 2229,19/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Cần Thơ,So sánh sản phẩm,Chuyển hồ sơ,Ấm,GDV-029
BRC-02249,0935830899,Khách hàng 2249,20/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,Đang liên hệ,Cần nuôi,GDV-050
BRC-02124,0914688722,Khách hàng 2124,20/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,Đã tư vấn,Cần nuôi,GDV-050
BRC-02329,0978389729,Khách hàng 2329,20/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Nha Trang,Tư vấn sản phẩm,Đã tư vấn,Nóng,GDV-021
BRC-02181,0958215573,Khách hàng 2181,20/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Ba Đình,Hỗ trợ hồ sơ,Mới,Ấm,GDV-039
BRC-02419,0954360524,Khách hàng 2419,20/04/2026,CMP-2026-Q2,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Không liên hệ được,Cần nuôi,GDV-011
BRC-02212,0910436727,Khách hàng 2212,21/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Mới,Cần nuôi,GDV-034
BRC-02483,0992447593,Khách hàng 2483,21/04/2026,CMP-2026-Q2,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Mới,Ưu tiên thấp,GDV-001
BRC-02313,0994468881,Khách hàng 2313,21/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Cần Thơ,So sánh sản phẩm,Thành công,Nóng,GDV-028
BRC-02365,0922869663,Khách hàng 2365,21/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Hỗ trợ hồ sơ,Thành công,Ấm,GDV-053
BRC-02425,0986063116,Khách hàng 2425,21/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,Không liên hệ được,Ấm,GDV-045
BRC-02496,0954823882,Khách hàng 2496,21/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Cần Thơ,So sánh sản phẩm,Đang liên hệ,Ấm,GDV-013
BRC-02421,0977537181,Khách hàng 2421,22/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Đà Nẵng,So sánh sản phẩm,Đang liên hệ,Ấm,GDV-052
BRC-02048,0987065413,Khách hàng 2048,22/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Đang liên hệ,Cần nuôi,GDV-047
BRC-02240,0953142096,Khách hàng 2240,22/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Đang liên hệ,Cần nuôi,GDV-056
BRC-02028,0937886715,Khách hàng 2028,23/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hải Phòng,Mở mới,Mới,Nóng,GDV-015
BRC-02224,0943799390,Khách hàng 2224,24/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Mới,Cần nuôi,GDV-006
BRC-02117,0968538102,Khách hàng 2117,25/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đã tư vấn,Ưu tiên thấp,GDV-017
BRC-02239,0934207200,Khách hàng 2239,26/04/2026,CMP-2026-Q2,,Tài khoản lương,Miền Nam,CN Cần Thơ,Mở mới,Thành công,Cần nuôi,GDV-029
BRC-05641,0972345413,Khách hàng 2349,26/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Đã tư vấn,Ưu tiên thấp,GDV-055
BRC-02424,0961744339,Khách hàng 2424,27/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Nha Trang,Mở mới,Thành công,Nóng,GDV-029
BRC-02099,0988166285,Khách hàng 2099,27/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-051
BRC-02196,0957589820,Khách hàng 2196,27/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Nha Trang,So sánh sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-011
BRC-02119,0965835179,Khách hàng 2119,28/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Nha Trang,So sánh sản phẩm,Mới,Ấm,GDV-035
BRC-02267,0989060809,Khách hàng 2267,28/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Mở mới,Mới,Ấm,GDV-020
BRC-02061,0977479512,Khách hàng 2061,28/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,Đã tư vấn,Ấm,GDV-007
BRC-02392,0916269470,Khách hàng 2392,29/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Nha Trang,Mở mới,Đã tư vấn,Ấm,GDV-016
BRC-02202,0983583408,Khách hàng 2202,29/04/2026,CMP-2026-Q2,,App số & Tiết kiệm online,Miền Bắc,CN Bắc Ninh,Hỏi ưu đãi,Thành công,Ưu tiên thấp,GDV-008
BRC-02025,0965485137,Khách hàng 2025,29/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Thành công,Ấm,GDV-004
BRC-02328,0911385898,Khách hàng 2328,29/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Chuyển hồ sơ,Ấm,GDV-043
BRC-02210,0932367157,Khách hàng 2210,29/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Đã tư vấn,Ấm,GDV-046
BRC-02355,0943080000,Khách hàng 2355,29/04/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỏi ưu đãi,Mới,Ưu tiên thấp,GDV-049
BRC-02027,0903391247,Khách hàng 2027,02/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Thành công,Ưu tiên thấp,GDV-022
BRC-02223,0921822810,Khách hàng 2223,02/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Mới,Ưu tiên thấp,GDV-024
BRC-02204,0906250074,Khách hàng 2204,02/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Đà Nẵng,Mở mới,Đang liên hệ,Nóng,GDV-002
BRC-02484,0954809158,Khách hàng 2484,03/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,Đã tư vấn,Nóng,GDV-045
BRC-02205,0982517052,Khách hàng 2205,03/05/2026,CMP-2026-Q2,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Mới,Ấm,GDV-014
BRC-02136,0900037799,Khách hàng 2136,03/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Hỗ trợ hồ sơ,Mới,Ưu tiên thấp,GDV-057
BRC-02269,0985021625,Khách hàng 2269,03/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Đang liên hệ,Nóng,GDV-025
BRC-02254,0942106800,Khách hàng 2254,04/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Đà Nẵng,Mở mới,Đang liên hệ,Nóng,GDV-020
BRC-02440,0931505760,Khách hàng 2440,04/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hải Phòng,Mở mới,Mới,Ưu tiên thấp,GDV-041
BRC-02274,0902287767,Khách hàng 2274,04/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Huế,Hỗ trợ hồ sơ,Không liên hệ được,Ấm,GDV-006
BRC-02123,0948274171,Khách hàng 2123,07/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Mới,Ấm,GDV-021
BRC-02324,0944971482,Khách hàng 2324,07/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,Đã tư vấn,Nóng,GDV-029
BRC-02291,0982670990,Khách hàng 2291,08/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,So sánh sản phẩm,Chuyển hồ sơ,Ấm,GDV-004
BRC-02455,0989133651,Khách hàng 2455,08/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Nha Trang,Tư vấn sản phẩm,Đã tư vấn,Nóng,GDV-026
BRC-02201,0908523593,Khách hàng 2201,08/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Đã tư vấn,Nóng,GDV-007
BRC-02066,0947154247,Khách hàng 2066,09/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Mới,Cần nuôi,GDV-055
BRC-02233,0980729799,Khách hàng 2233,09/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-011
BRC-02137,0918537942,Khách hàng 2137,09/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-058
BRC-02029,0990867400,Khách hàng 2029,09/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,Mới,Ấm,GDV-032
BRC-02384,0972972740,Khách hàng 2384,09/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Mới,Ấm,GDV-018
BRC-02321,0903821136,Khách hàng 2321,10/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Mới,Ấm,GDV-042
BRC-02146,0959958685,Khách hàng 2146,10/05/2026,CMP-2026-Q2,,App số & Tiết kiệm online,Miền Bắc,CN Hải Phòng,Mở mới,Chuyển hồ sơ,Cần nuôi,GDV-051
BRC-02039,0985629889,Khách hàng 2039,10/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Thành công,Ưu tiên thấp,GDV-012
BRC-02155,0949778525,Khách hàng 2155,10/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Ba Đình,Hỏi ưu đãi,Chuyển hồ sơ,Ấm,GDV-048
BRC-02216,0964592360,Khách hàng 2216,11/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Hỏi ưu đãi,Chuyển hồ sơ,Ấm,GDV-052
BRC-02395,0956861612,Khách hàng 2395,11/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đang liên hệ,Ưu tiên thấp,GDV-057
BRC-02273,0947744222,Khách hàng 2273,11/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Chuyển hồ sơ,Ấm,GDV-025
BRC-02095,0912045516,Khách hàng 2095,11/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,Đang liên hệ,Ấm,GDV-013
BRC-02206,0923597091,Khách hàng 2206,11/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Chuyển hồ sơ,Ấm,GDV-046
BRC-02316,0980931119,Khách hàng 2316,11/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Cần Thơ,Mở mới,Mới,Ấm,GDV-043
BRC-02129,0902870779,Khách hàng 2129,12/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Mới,Ấm,GDV-060
BRC-02523,0925931356,Khách hàng 2523,12/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,Không liên hệ được,Ưu tiên thấp,GDV-027
BRC-02109,0944030015,Khách hàng 2109,13/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Mới,Ưu tiên thấp,GDV-002
BRC-02256,0993316396,Khách hàng 2256,13/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,Đã tư vấn,Ấm,GDV-005
BRC-02447,0919878905,Khách hàng 2447,13/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,Hỏi ưu đãi,Đang liên hệ,Cần nuôi,GDV-046
BRC-02276,0984192535,Khách hàng 2276,15/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,Thành công,Ấm,GDV-059
BRC-02120,0930927177,Khách hàng 2120,15/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,Chuyển hồ sơ,Ấm,GDV-053
BRC-02075,0902404563,Khách hàng 2075,15/05/2026,CMP-2026-Q2,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,So sánh sản phẩm,Mới,Cần nuôi,GDV-042
BRC-02231,0973415520,Khách hàng 2231,15/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,Đang liên hệ,Ấm,GDV-036
BRC-02481,0993103358,Khách hàng 2481,15/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Mở mới,Mới,Ấm,GDV-040
BRC-02353,0965125156,Khách hàng 2353,17/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,Đã tư vấn,Nóng,GDV-025
BRC-02467,0936313905,Khách hàng 2467,18/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,Mới,Nóng,GDV-045
BRC-02105,0978610358,Khách hàng 2105,18/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Nha Trang,Mở mới,Chuyển hồ sơ,Ấm,GDV-049
BRC-02356,0993286826,Khách hàng 2356,18/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Thành công,Nóng,GDV-023
BRC-02023,0954901022,Khách hàng 2023,19/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,Chuyển hồ sơ,Ưu tiên thấp,GDV-054
BRC-02077,0983406157,Khách hàng 2077,19/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Trung,CN Đà Nẵng,Tư vấn sản phẩm,Đã tư vấn,Ưu tiên thấp,GDV-005
BRC-02063,0993357471,Khách hàng 2063,20/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,Mở mới,Thành công,Ấm,GDV-054
BRC-02499,0901909313,Khách hàng 2499,21/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,Đang liên hệ,Ấm,GDV-028
BRC-02067,0919748522,Khách hàng 2067,21/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Bình Dương,So sánh sản phẩm,Không liên hệ được,Ấm,GDV-029
BRC-02280,0989473171,Khách hàng 2280,22/05/2026,CMP-2026-Q2,,Vay mua nhà,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,Đang liên hệ,Nóng,GDV-022
